iter	Logloss
0	0.6214621993
1	0.5588521364
2	0.5101215965
3	0.4705409712
4	0.4487444015
5	0.4269468875
6	0.406055278
7	0.392018103
8	0.3814229429
9	0.3674432665
10	0.3609208176
11	0.3549239041
12	0.3437274667
13	0.3346368318
14	0.3252311066
15	0.3201671913
16	0.3154662014
17	0.3089943552
18	0.301137743
19	0.298152777
20	0.2937802538
21	0.2909985077
22	0.2864371369
23	0.2796306465
24	0.2757405283
25	0.2743807912
26	0.2691985276
27	0.2657005337
28	0.2614406912
29	0.2554462988
30	0.2529334753
31	0.2510679915
32	0.2485894296
33	0.2460966943
34	0.2436453145
35	0.2416426476
36	0.2401633127
37	0.2370942337
38	0.2346495375
39	0.233246712
40	0.2303861954
41	0.2276861285
42	0.2258259448
43	0.2222406022
44	0.2203855374
45	0.2188850765
46	0.216216765
47	0.2142833407
48	0.2117912588
49	0.2104533702
50	0.2096794594
51	0.2087500739
52	0.2070505396
53	0.2063358662
54	0.204874236
55	0.2028870937
56	0.1997504055
57	0.1991592051
58	0.1975279496
59	0.1955774698
60	0.1941588957
61	0.1929404424
62	0.1906739537
63	0.188141704
64	0.1865664555
65	0.1851644097
66	0.1836204427
67	0.1814885677
68	0.1804564226
69	0.179147293
70	0.1787377408
71	0.1774775589
72	0.1756520039
73	0.174915114
74	0.1733962113
75	0.1714585003
76	0.168206083
77	0.1672844485
78	0.1669461405
79	0.1651989418
80	0.1622641889
81	0.1605488479
82	0.1592964229
83	0.158539537
84	0.1584037873
85	0.1578404295
86	0.1571885957
87	0.1566038218
88	0.1552185169
89	0.1534961824
90	0.1533751964
91	0.1517858837
92	0.1509780963
93	0.1488305944
94	0.1481482399
95	0.1464139078
96	0.145129779
97	0.1439488485
98	0.1433353576
99	0.1412891809
100	0.1397142194
101	0.1389096959
102	0.1364735215
103	0.1364088078
104	0.1345478799
105	0.132906321
106	0.1327366205
107	0.1323358532
108	0.1310790732
109	0.1309729451
110	0.129479898
111	0.1286244373
112	0.1283097834
113	0.1270342667
114	0.1254158113
115	0.1239958188
116	0.1222911152
117	0.1222497739
118	0.1205474259
119	0.1192987644
120	0.1191745977
121	0.1191358682
122	0.1187901463
123	0.1175946266
124	0.1164019409
125	0.1152338653
126	0.114277246
127	0.1131025201
128	0.1120954425
129	0.1106267138
130	0.1095531404
131	0.1086705336
132	0.1079388329
133	0.1064609311
134	0.1058289124
135	0.1045586893
136	0.1042229242
137	0.1026723309
138	0.1021801398
139	0.1016607027
140	0.100894445
141	0.09962846186
142	0.09842564207
143	0.09828572231
144	0.09731867903
145	0.09596259407
146	0.09494601894
147	0.09442570674
148	0.09364517768
149	0.09273136733
150	0.09114710563
151	0.08992957608
152	0.08903258297
153	0.0876303392
154	0.08678497818
155	0.08637614395
156	0.08599099492
157	0.08536665501
158	0.08443395058
159	0.0841700685
160	0.08392993699
161	0.08325700272
162	0.08241994084
163	0.08188696497
164	0.08122610001
165	0.08047005517
166	0.0797189505
167	0.07905500105
168	0.07800331639
169	0.07730353967
170	0.07682052001
171	0.07630988175
172	0.07555457087
173	0.07495751134
174	0.07450326152
175	0.07392021845
176	0.07314454359
177	0.07246335733
178	0.07173261393
179	0.07115474258
180	0.07055617409
181	0.07042318955
182	0.06989205528
183	0.06938408431
184	0.06916064099
185	0.06864167269
186	0.0682777171
187	0.06769724893
188	0.06706665134
189	0.06666357754
190	0.06614231895
191	0.06546884733
192	0.06478913003
193	0.06405767078
194	0.06357145878
195	0.06316607751
196	0.06312292941
197	0.06277262894
198	0.06234343909
199	0.06184801997
200	0.06126564384
201	0.06103111643
202	0.06041611753
203	0.06020705644
204	0.05960628463
205	0.05938556591
206	0.05915993167
207	0.05900522997
208	0.05819525579
209	0.0578671324
210	0.05756330662
211	0.0572544419
212	0.05657545862
213	0.0559685038
214	0.05561344491
215	0.05490406058
216	0.0545861601
217	0.05441430547
218	0.05395429072
219	0.05367670329
220	0.05345426733
221	0.05308045388
222	0.05250593118
223	0.05225512204
224	0.05165691148
225	0.05120713659
226	0.05115624664
227	0.05107752682
228	0.05097200427
229	0.05076965848
230	0.05035449059
231	0.05015090122
232	0.04970541786
233	0.04953519002
234	0.04922480573
235	0.04913829913
236	0.04897885928
237	0.04865974838
238	0.04861243639
239	0.04826320931
240	0.04822820667
241	0.04821810107
242	0.0480499154
243	0.04759371579
244	0.04728871928
245	0.04710855896
246	0.04691086552
247	0.04654540244
248	0.04582633758
