iter	Passed	Remaining
0	3	1307
1	6	1227
2	15	2070
3	18	1831
4	21	1690
5	23	1547
6	29	1633
7	31	1532
8	33	1456
9	36	1405
10	41	1473
11	43	1418
12	46	1369
13	48	1326
14	50	1289
15	52	1255
16	56	1278
17	59	1252
18	61	1227
19	63	1201
20	65	1179
21	67	1159
22	71	1174
23	73	1157
24	76	1140
25	78	1124
26	80	1109
27	82	1094
28	84	1080
29	88	1094
30	93	1108
31	95	1095
32	97	1083
33	99	1073
34	103	1081
35	107	1085
36	109	1075
37	111	1065
38	113	1054
39	116	1046
40	120	1058
41	123	1050
42	125	1040
43	127	1030
44	129	1023
45	131	1014
46	136	1021
47	138	1013
48	140	1005
49	142	996
50	144	988
51	146	981
52	150	985
53	152	979
54	155	972
55	157	969
56	160	964
57	162	957
58	164	950
59	168	953
60	170	946
61	172	940
62	174	935
63	176	928
64	179	922
65	182	925
66	185	924
67	188	918
68	190	913
69	192	908
70	194	902
71	198	902
72	200	897
73	202	892
74	204	887
75	207	882
76	209	877
77	211	872
78	217	883
79	220	880
80	222	875
81	224	870
82	226	865
83	228	861
84	232	861
85	234	856
86	236	851
87	238	846
88	240	841
89	243	837
90	246	838
91	249	835
92	251	830
93	253	825
94	255	821
95	257	816
96	260	813
97	263	812
98	265	808
99	268	804
100	270	800
101	272	796
102	274	791
103	279	795
104	281	791
105	283	787
106	285	782
107	287	778
108	290	774
109	293	773
110	295	769
111	298	767
112	300	763
113	302	759
114	304	755
115	306	751
116	310	751
117	313	748
118	315	744
119	317	740
120	319	737
121	321	733
122	326	734
123	328	730
124	330	726
125	332	723
126	334	719
127	337	717
128	342	719
129	345	717
130	348	714
131	350	712
132	353	710
133	358	711
134	361	709
135	364	707
136	367	705
137	370	703
138	374	703
139	377	701
140	380	699
141	383	696
142	393	708
143	397	706
144	400	703
145	403	702
146	410	705
147	413	704
148	416	702
149	420	700
150	425	702
151	428	699
152	431	696
153	434	694
154	441	698
155	445	696
156	448	693
157	451	691
158	454	688
159	457	686
160	460	683
161	465	683
162	468	681
163	471	678
164	474	676
165	477	673
166	482	673
167	488	674
168	491	671
169	494	668
170	499	668
171	501	664
172	503	660
173	505	656
174	507	652
175	509	649
176	514	648
177	516	644
178	518	640
179	520	636
180	522	632
181	525	629
182	528	626
183	531	623
184	534	620
185	536	617
186	538	613
187	541	610
188	546	610
189	548	606
190	551	602
191	553	599
192	555	596
193	558	592
194	562	591
195	564	587
196	566	584
197	569	580
198	571	577
199	574	574
200	577	571
201	579	568
202	582	565
203	584	561
204	586	558
205	588	554
206	593	553
207	596	550
208	598	547
209	600	543
210	603	540
211	605	536
212	609	535
213	612	532
214	614	528
215	616	525
216	618	521
217	621	518
218	625	516
219	628	514
220	630	510
221	632	507
222	634	504
223	637	500
224	642	499
225	644	496
226	646	492
227	648	489
228	650	486
229	652	482
230	658	481
231	660	478
232	662	474
233	664	471
234	666	467
235	669	464
236	673	463
237	676	460
238	678	457
239	680	453
240	682	450
241	684	447
242	690	445
243	692	442
244	694	439
245	696	436
246	698	432
247	700	429
248	705	427
249	707	424
250	709	421
251	712	418
252	714	414
253	716	411
254	720	409
255	722	406
256	725	403
257	727	400
258	730	397
259	732	394
260	736	392
261	738	389
262	741	386
263	743	382
264	745	380
265	748	377
266	754	375
267	757	373
268	759	369
269	761	366
270	763	363
271	767	361
272	769	358
273	772	355
274	774	352
275	776	348
276	781	347
277	783	343
278	785	340
279	788	338
280	791	335
281	794	332
282	799	330
283	801	327
284	803	324
285	806	321
286	808	318
287	810	315
288	814	312
289	816	309
290	820	307
291	823	304
292	826	301
293	831	299
294	834	297
295	837	294
296	840	291
297	846	289
298	849	287
299	852	284
300	855	281
301	858	278
302	913	292
303	918	290
304	921	287
305	925	284
306	952	288
307	955	285
308	961	283
309	965	280
310	970	277
311	1085	306
312	1088	302
313	1094	299
314	1097	296
315	1102	293
316	1105	289
317	1109	286
318	1111	282
319	1114	278
320	1116	274
321	1118	270
322	1120	267
323	1125	263
324	1127	260
325	1129	256
326	1131	252
327	1133	248
328	1136	245
329	1140	241
330	1142	238
331	1145	234
332	1147	230
333	1150	227
334	1194	231
335	1196	227
336	1199	224
337	1201	220
338	1203	216
339	1206	212
340	1208	209
341	1211	205
342	1213	201
343	1216	197
344	1218	194
345	1221	190
346	1224	186
347	1226	183
348	1228	179
349	1230	175
350	1232	172
351	1235	168
352	1238	164
353	1240	161
354	1243	157
355	1245	153
356	1247	150
357	1250	146
358	1252	143
359	1255	139
360	1257	135
361	1260	132
362	1262	128
363	1264	125
364	1267	121
365	1270	117
366	1272	114
367	1275	110
368	1277	107
369	1279	103
370	1281	100
371	1285	96
372	1340	96
373	1342	93
374	1381	92
375	1385	88
376	1388	84
377	1391	80
378	1394	77
379	1398	73
380	1401	69
381	1403	66
382	1405	62
383	1409	58
384	1411	54
385	1414	51
386	1417	47
387	1419	43
388	1421	40
389	1423	36
390	1425	32
391	1428	29
392	1431	25
393	1434	21
394	1436	18
395	1438	14
396	1440	10
397	1442	7
398	1444	3
399	1448	0
